trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
178,True,"{'a': 0, 'e': 0}",20,12,12.354439281860284,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,True,"{'a': 0, 'e': 0}",20,12,15.529140831487688,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,True,"{'a': 0, 'e': 0}",20,3,24.50034636287099,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,True,"{'a': 0, 'e': 0}",30,11,29.759244435116084,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,True,"{'a': 0, 'e': 0}",20,5,24.33901578196164,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,True,"{'a': 0, 'e': 0}",25,8,29.715460094890656,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,True,"{'a': 0, 'e': 0}",25,15,19.41830278203242,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,True,"{'a': 0, 'e': 0}",20,8,19.642494696282565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,True,"{'a': 0, 'e': 0}",20,16,6.534100931513743,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,True,"{'a': 0, 'e': 0}",25,17,16.764962540728533,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,True,"{'a': 0, 'e': 0}",25,8,30.597406635864917,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
